WARNING:lerobot.configs.policies:Device 'cuda' is not available. Switching to 'mps'.
WARNING:lerobot.configs.policies:Device 'cuda' is not available. Switching to 'mps'.
`torch_dtype` is deprecated! Use `dtype` instead!
00:10.712  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:11.070  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:12.196  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:12.548  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:13.226  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:13.582  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:14.245  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:14.585  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:15.220  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:15.576  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:16.211  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:16.558  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:17.173  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:17.524  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:18.166  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:18.518  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:19.174  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:19.528  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:20.176  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:20.531  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:21.211  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:21.565  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:22.214  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:22.575  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:23.215  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:23.555  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:24.189  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:24.546  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:25.178  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:25.536  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
00:26.171  render           | Saved: '/tmp/clearvla_eval_opaque_41152.png'
